sr_no	column_name	category	description	content_type	granularity	minimum_element	maximum_element	data_owner	confidence_level	criticality	data_volatility	update_frequency	data_type	format_constraints	regex_pattern	nullability	business_rules	data_rules	data_source
1	Company Name	Company Basics	Full legal/official name of the entity	Legal Name	One per Entity	2	255	Legal / Compliance	High	Critical	Static	Ad-hoc (Change Event)	VARCHAR(255)	Standard Case; UTF-8 Support	^[\w\s&.,\-\(\)'\u00C0-\u017F]+$	Not Null	Must match official government registration documents exactly	Trim leading/trailing spaces; No emojis	Company Registry / SEC Filings
2	Short Name	Company Basics	Commonly used short/abbreviated name	Alias / Brand Name	One per Entity	2	100	Marketing / Branding	Medium	Medium	Static	Ad-hoc	VARCHAR(100)	Title Case Preferred	^[\w\s&.\-]+$	Nullable	Used for UI/Mobile displays where full name is too long	Cannot contain restricted words	Marketing Assets / Website
3	Logo	Company Basics	Representative logo URL or image link	URL (Image)	One per Entity	10	2048	Marketing / Branding	High	Medium	Low	Ad-hoc	TEXT (URL)	Must point to valid image format (png; jpg; svg)	^https?:\/\/.*\.(?:png|jpg|jpeg|svg|webp)(?:\?.*)?$	Not Null	Link must resolve to a publicly accessible image; Transparent background preferred	Valid URL structure; Status 200 OK	Official Website / LinkedIn
4	Category	Company Basics	Business classification (Startup, MSME, SMB, Investor, VC)	Classification Tag	One per Entity	2	50	Strategy / Ops	High	High	Low	Annually	VARCHAR(50)	Pre-defined Enums	^(Startup|MSME|SMB|Enterprise|Investor|VC|Conglomerate)$	Not Null	Must map to internal standardized business taxonomy	Case insensitive match against Enum list	Internal Classification / 3rd Party DB
5	Year of Incorporation	Company Basics	Year the company was legally incorporated/founded	Year (YYYY)	One per Entity	4	4	Legal / Compliance	High	Critical	Static	One-time	INTEGER	YYYY format; No future dates	^(19|20) 	Not Null	Cannot be in the future; Cannot be before 1800 (generally)	Must be 4 digits numeric	Company Registry
6	Overview of the Company	Company Narrative	A high-level summary of what the company does and its market position.	Narrative Text	One per Entity	50	5000	Marketing / IR	Medium	Critical	Low	Annually	TEXT	Paragraph structure; Plain Text	[\s\S]*	Not Null	Should include industry; core product; and target audience keywords	Min length 50 chars; Max length 5000	Company Website / Pitch Deck
7	Nature of Company	Company Basics	Ownership structure (Private, Public, Subsidiary, etc.)	Classification	One per Entity	5	50	Legal / Compliance	High	High	Low	Ad-hoc (IPO/M&A)	VARCHAR(50)	Pre-defined Enums	^(Private|Public|Subsidiary|Partnership|Non-Profit|Govt)$	Not Null	Determines regulatory reporting requirements	Match against allowed Legal Structure Types	Legal Filings
8	Company Headquarters	Company Basics	Primary headquarters address and location	Geo-Location (City/Country)	One per Entity	5	255	Operations	High	Critical	Low	Ad-hoc	VARCHAR(255)	City; Country (ISO code preferred)	^[\w\s,.\-]+$	Not Null	Must specify at least City and Country	Validate against global cities database	Company Website
9	Countries Operating In	Geographic Presence	List of countries where the company actively operates	Geo-Location List	One to Many	3	5000	Strategy / Ops	Medium	Medium	Medium	Annually	TEXT	Comma-separated values or ISO Codes	^([A-Za-z\s]+)(,\s*[A-Za-z\s]+)*$	Nullable	Implies revenue generation or physical presence	Split by comma; Validate each against Country List	Annual Report/ Company Website(Added Company website)
10	Number of Offices (beyond HQ)	Geographic Presence	Number of additional offices excluding headquarters	Integer Count	One per Entity	1	10	Operations	Medium	Low	Medium	Annually	INTEGER	Positive Integer	^\d+$	Nullable	Excludes WeWork hot desks unless permanent; Excludes HQ	Must be >= 0	Company Careers Page/ Company Website (Added Company website)
11	Office Locations	Geographic Presence	Specific addresses/locations of all offices	Address List	One to Many	10	5000	Operations	Medium	Low	Medium	Ad-hoc	TEXT	Structured Text / JSON	[\s\S]*	Nullable	List must include City and Country for each entry	Parsing check if JSON; CSV check if text	Company Contact Page
12	Employee Size	People & Talent	Total headcount/employee size (full-time equivalents)	Numeric Range / Count	One per Entity	1	20	HR	High	High	Medium	Quarterly	VARCHAR(50)	Buckets (e.g. 11-50) or Exact Integer	^(\d+|\d+-\d+)$	Not Null	Includes FTEs; Excludes Contractors if possible	If range; Min < Max	LinkedIn / HR Tools
13	Hiring Velocity	People & Talent	Current open job roles count and breakdown by department	Metric / Text	One per Entity	0	1000	HR	Low	Medium	High	Monthly	TEXT	Descriptive stats or Integer count	[\s\S]*	Nullable	Indicates growth stage; High number = scaling	Parse integer if scalar provided	Job Boards / Careers Page
14	Employee Turnover	People & Talent	The annual percentage of employees leaving the organization.	Percentage	One per Entity	1	10	HR	Low	High	Medium	Annually	VARCHAR(10)	Percent format (e.g. 15%)	^\d{1,3}(\.\d{1,2})?%$	Nullable	High turnover (>20%) flags risk	Value between 0% and 100%	HR Reports / Glassdoor/Indeed (Added Indeed)
15	Average Retention Tenure	People & Talent	The average length of time an employee stays with the company.	Duration	One per Entity	1	20	HR	Low	Medium	Low	Annually	VARCHAR(20)	Years (e.g. 2.5 Years)	^\d+(\.\d+)?\s?(Years?|Months?)$	Nullable	calculated based on historical exit data	Parse numeric value	LinkedIn Insights
16	Pain Points Being Addressed	Business Model	Primary customer problems/pain points the company solves	Problem Statement	One to Many	20	2000	Product / Strategy	Medium	High	Low	Ad-hoc	TEXT	Free Text	[\s\S]*	Not Null	Must align with value proposition	Min words > 5	Pitch Deck / Website
17	Focus Sectors / Industries	Business Model	Target industries/sectors using GICS classification	Industry Classification	One to Many	3	500	Strategy	High	Critical	Low	Ad-hoc	VARCHAR(500)	Comma separated	^[\w\s&.,\-/]+$	Not Null	Use standard taxonomies (GICS / NAICS) where possible	Validate against Industry Master List	Pitch Deck
18	Services / Offerings / Products	Business Model	Core products, services, or offerings provided	Product List	One to Many	5	5000	Product	High	Critical	Medium	Quarterly	TEXT	Bulleted or Comma Separated	[\s\S]*	Not Null	Must list revenue-generating items	Keywords extraction	Website Products Page
19	Top Customers by Client Segments	Business Model	Top 10-50 customers grouped by segments	Client List	One to Many	10	5000	Sales	Medium	High	Medium	Quarterly	TEXT	Segment: [Client List]	[\s\S]*	Nullable	Only public references allowed	PII check (ensure no individuals named)	Marketing Case Studies
