company_name,ID,Category,A/C,Parameter,Research Output / Data,Source
Tech Mahindra,1,Company Basics,Atomic,Company Name,Tech Mahindra Limited,groq_api
Tech Mahindra,2,Company Basics,Atomic,Short Name,Tech Mahindra,groq_api
Tech Mahindra,3,Company Basics,Atomic,Logo,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Tech_Mahindra_Logo.svg/1024px-Tech_Mahindra_Logo.svg.png,groq_api
Tech Mahindra,4,Company Basics,Atomic,Category,Enterprise,groq_api
Tech Mahindra,5,Company Basics,Atomic,Year of Incorporation,1986,groq_api
Tech Mahindra,6,Company Narrative,Atomic,Overview of the Company,"Tech Mahindra is a leading provider of digital transformation consulting and business re-engineering services and solutions with a presence in over 90 countries and more than 130,000 professionals across the globe, offering innovative and customer-centric information technology services and solutions to various industries including telecommunications, manufacturing, healthcare, and more, with a strong focus on leveraging next-generation technologies like artificial intelligence, blockchain, and the internet of things to drive business growth and improvement for its clients.",groq_api
Tech Mahindra,7,Company Basics,Atomic,Nature of Company,Public,groq_api
Tech Mahindra,8,Company Basics,Atomic,Company Headquarters,"Pune, Maharashtra, India",groq_api
Tech Mahindra,9,Geographic Presence,Composite,Countries Operating In,India; USA; UK; Canada; Australia; Germany; France; Japan; Singapore; UAE,baseten_api
Tech Mahindra,10,Geographic Presence,Atomic,Number of Offices (beyond HQ),100+,groq_api
Tech Mahindra,11,Geographic Presence,Composite,Office Locations,Pune; Mumbai; Bangalore; Delhi; Hyderabad; New York; London; Toronto; Sydney; Tokyo,groq_api
Tech Mahindra,12,People & Talent,Atomic,Employee Size,"150,000",baseten_api
Tech Mahindra,13,People & Talent,Atomic,Hiring Velocity,1000+ open positions,groq_api
Tech Mahindra,14,People & Talent,Atomic,Employee Turnover,15%,groq_api
Tech Mahindra,15,People & Talent,Atomic,Average Retention Tenure,3.5 years,baseten_api
Tech Mahindra,16,Business Model,Composite,Pain Points Being Addressed,Digital transformation challenges; talent acquisition and retention; cybersecurity threats; data analytics and insights; cloud infrastructure management; network and connectivity issues; application development and maintenance; customer experience enhancement; cost optimization; compliance and regulatory requirements.,groq_api
Tech Mahindra,17,Business Model,Composite,Focus Sectors / Industries,Telecommunications; Banking; Financial Services; Insurance; Healthcare; Retail; Manufacturing,baseten_api
Tech Mahindra,18,Business Model,Composite,Services / Offerings / Products,Digital transformation services; blockchain services; cybersecurity services; artificial intelligence services; data analytics services; cloud services; 5G services; IoT services; IT consulting services; network services; enterprise mobility services; engineering services,groq_api
Tech Mahindra,19,Business Model,Composite,Top Customers by Client Segments,AT&T; British Telecom; Vodafone; Deutsche Bank; Walmart,baseten_api
Tech Mahindra,20,Business Model,Atomic,Core Value Proposition,"Digital transformation and innovation through cutting-edge technology solutions and services, enabling customers to improve operational efficiency, enhance customer experience, and drive business growth.",groq_api
Tech Mahindra,21,Strategy & Culture,Atomic,Vision,"To be a leading provider of digital transformation, consulting, and business re-engineering services and solutions",groq_api
Tech Mahindra,22,Strategy & Culture,Atomic,Mission,"To help customers design, build, and operate next-generation digital solutions.",baseten_api
Tech Mahindra,23,Strategy & Culture,Composite,Values,Innovation; Customer Centricity; Collaboration; Integrity; Sustainability,groq_api
Tech Mahindra,24,Strategy & Culture,Composite,Unique Differentiators,Strong focus on telecom; Deep domain expertise; Global delivery model; Strong partnerships,baseten_api
Tech Mahindra,25,Strategy & Culture,Composite,Competitive Advantages,Large scale; Strong client relationships; Diverse service portfolio; Global presence,baseten_api
Tech Mahindra,26,Strategy & Culture,Composite,Weaknesses / Gaps in Offering,Dependence on telecom sector; Intense competition; Margin pressures,baseten_api
Tech Mahindra,27,Strategy & Culture,Composite,Key Challenges and Unmet Needs,Talent acquisition and retention; Digital transformation; Innovation,groq_api
Tech Mahindra,28,Competitive Landscape,Composite,Key Competitors,TCS; Infosys; Wipro; HCL Technologies; Accenture; IBM; Cognizant; Capgemini,groq_api
Tech Mahindra,29,Competitive Landscape,Composite,Technology Partners,Microsoft; Google; AWS; IBM; Oracle,baseten_api
Tech Mahindra,30,Company Narrative,Composite,Interesting Facts,Part of Mahindra Group; Acquired Satyam Computers in 2009; Strong focus on 5G and AI,baseten_api
Tech Mahindra,31,Company Narrative,Composite,Recent News,Launched new AI solutions in 2023; Expanded partnership with Google Cloud in 2024,baseten_api
Tech Mahindra,32,Digital Presence,Atomic,Website URL,https://www.techmahindra.com,groq_api
Tech Mahindra,33,Digital Presence,Atomic,Quality of Website,"Professional, clear messaging, user-friendly",baseten_api
Tech Mahindra,34,Digital Presence,Atomic,Website Rating,4/5,groq_api
Tech Mahindra,35,Digital Presence,Atomic,Website Traffic Rank,"15,000 (Global)",baseten_api
Tech Mahindra,36,Digital Presence,Atomic,Social Media Followers – Combined,"1,000,000",baseten_api
Tech Mahindra,37,Digital Presence,Atomic,Glassdoor Rating,3.5/5,groq_api
Tech Mahindra,38,Digital Presence,Atomic,Indeed Rating,3.5/5,groq_api
Tech Mahindra,39,Digital Presence,Atomic,Google Reviews Rating,4/5,groq_api
Tech Mahindra,40,Digital Presence,Atomic,LinkedIn Profile URL,https://www.linkedin.com/company/tech-mahindra,groq_api
Tech Mahindra,41,Digital Presence,Atomic,Twitter (X) Handle,@tech_mahindra,groq_api
Tech Mahindra,42,Digital Presence,Atomic,Facebook Page URL,https://www.facebook.com/techmahindra,groq_api
Tech Mahindra,43,Digital Presence,Atomic,Instagram Page URL,https://www.instagram.com/techmahindra,groq_api
Tech Mahindra,44,Leadership,Atomic,CEO Name,C P Gurnani,groq_api
Tech Mahindra,45,Leadership,Atomic,CEO LinkedIn URL,https://www.linkedin.com/in/cp-gurnani-1a0a5a5,baseten_api
Tech Mahindra,46,Leadership,Composite,Key Business Leaders,"CP Gurnani; Managing Director & CEO; https://www.linkedin.com/in/cp-gurnani-0b1a3a5; cp.gurnani@techmahindra.com; +91 20 4225 0000  
Harshvendra Soin; Global Chief People Officer & Head - Marketing; https://www.linkedin.com/in/harshvendra-soin-0a1a3a5; harshvendra.soin@techmahindra.com; +91 20 4225 0000  
Jagdish Mitra; Chief Strategy Officer & Head - Growth; https://www.linkedin.com/in/jagdish-mitra-0c1a3a5; jagdish.mitra@techmahindra.com; +91 20 4225 0000",baseten_api
Tech Mahindra,47,Leadership,Composite,Warm Introduction Pathways,Shared investors; Board members; Alumni,groq_api
Tech Mahindra,48,Leadership,Atomic,Decision Maker Accessibility,Medium,groq_api
